id,任务名,任务类型,需求等级,境界限制,前置任务id,接取地图ID,接取npcID,接取奖励物品id,交付地图ID,交付npcID,交付奖励物品ID,交付奖励人物经验,交付奖励境界经验,货币属性ID,数量,任务条件类型,条件参数1,条件参数2,任务目标地图id,任务目标点,每日可做次数,可接任务对话,接取任务对话,接取取任对话后传送地图ID,传送地图位置,可交任务对话,交付任务对话,任务目标描述,任务描述
123,询问情况,0,50,0,122,1002,1018,0,1002,1017,0,8000000,0,0,0,0,1017,245,1002,45#19,0,244,0,0,0,245,0,询问傲八方情况,竹林村的事貌似与魔域有关，去问问傲八方一些情况吧。
124,头疼的傀儡,0,50,0,123,1002,1017,0,1006,1041,0,8000000,0,0,0,0,1041,247,1006,7#42,0,246,0,0,0,247,0,找到元虚师叔,不能让魔域废墟的傀儡出来害人，惩奸除恶小能手快去帮忙吧！
125,鼓舞士气,1,50,0,123,1002,1038,0,1002,1039,0,398000,0,0,0,0,1039,249,1002,20#30,0,248,0,0,0,249,0,帮忙鼓舞士气,被挫败的士兵们心情很不好，去找大锤鼓舞士气吧。
126,发放饷银,1,50,0,125,1002,1039,0,1002,1039,0,398000,0,0,0,0,1039,251,1002,20#30,0,250,0,0,0,251,0,帮忙拿来饷银,饷银没发放到位也会影响心情的！去取点饷银来。
127,报告情况,1,50,0,126,1002,1039,0,1002,1038,30026,398000,0,0,0,0,1038,253,1002,37#23,0,252,0,0,0,253,0,报告士兵情况,报告刀无形士兵训练的状况，随时可以出征。
128,傀儡制作,0,51,0,124,1006,1041,0,1006,1041,0,9000000,0,0,0,0,1041,255,1006,7#42,0,254,0,0,0,255,0,听傀儡制作原理,听师叔讲述傀儡的制作原理，魔尊冥苍真是丧心病狂。
129,宝贝疙瘩,0,51,0,128,1006,1041,0,1006,1042,0,9000000,0,0,0,0,1042,257,1006,16#31,0,256,0,0,0,257,0,寻找归元童子,归元这种小孩怎么能随便带出来！现在还得费力去找。
130,出来原因,0,52,0,129,1006,1042,0,1006,1042,0,10000000,0,0,0,0,1042,259,1006,16#31,0,258,0,0,0,259,0,听童子编故事,归元说自己跑出来是有原因的，你听听他又怎么编。
131,帮忙报答,0,52,0,130,1006,1042,0,1006,1042,0,10000000,0,0,0,1,100601,5,1006,10#29,0,260,0,0,0,261,0,帮忙打怪报答青云派,归元说要报答青云派，可是他不会打怪！还得你来咯。
132,没完没了,0,53,0,131,1006,1042,0,1006,1043,0,11000000,0,0,0,0,1043,263,1006,28#29,0,262,0,0,0,263,0,寻找空妙儿,这个小归元没完没了，还得去帮他找空妙儿！
133,采集无心草,0,53,0,132,1006,1043,0,1006,1043,0,11000000,0,0,0,7,12,3,1006,23#33,0,264,0,0,0,265,0,采集无心草,空妙儿也是个搞事的，赶紧帮她采无心草，让她回去。
134,收集熊胆,0,54,0,133,1006,1043,0,1006,1043,0,12000000,0,0,0,1,100602,5,1006,33#24,0,266,0,0,0,267,0,收集血睛黑熊胆,果然事多，还得再采集点熊胆，空妙儿才肯走。
135,大功告成,0,54,0,134,1006,1043,0,1006,1044,0,12000000,0,0,0,0,1044,269,1006,8#15,0,268,0,0,0,269,0,寻找千叶师姐,告诉千叶师姐空妙儿的情况，师姐很生气。
136,冥苍的野心,0,55,0,135,1006,1044,0,1006,1044,30027,14000000,0,0,0,0,1044,271,1006,8#15,0,270,0,0,0,271,0,了解魔尊冥苍的野心,听师姐讲述魔尊冥苍的野心，冥苍想像他哥哥一样统一六界。
137,元石传说,0,55,0,136,1006,1044,0,1006,4044,0,14000000,0,0,0,0,1044,273,1006,8#15,0,272,0,0,0,273,0,了解元石的传说,听师姐讲述元石的由来，以及元石的传说。
138,青云山秘密,0,56,0,137,1006,1044,0,1006,1045,0,16000000,0,0,0,0,1045,275,1006,44#4,0,274,0,0,0,275,0,寻找大师兄,大师兄知道很多青云山的秘密，千叶师姐让你去找他。
139,傀儡标本,0,56,0,138,1006,1045,0,1006,1045,0,16000000,0,0,0,1,100603,6,1006,38#10,0,276,0,0,0,277,0,采集傀儡制作标本,大师兄正在做一个重口味的研究，你帮他打点怪物吧。
140,魔族朋友,0,57,0,139,1006,1045,0,1006,1046,0,18000000,0,0,0,0,1046,279,1006,53#7,0,278,0,0,0,279,0,会见魔族朋友,大师兄说有个魔族人想见你，会是谁呢？去看看。
141,解决追踪,0,57,0,140,1006,1046,0,1006,1046,0,18000000,0,0,0,1,100604,6,1006,62#14,0,280,0,0,0,281,0,解决追踪的傀儡,伽罗蓝为了找你被傀儡盯上了，赶紧帮她解决掉。
142,告知危机,0,58,0,141,1006,1046,0,1006,1047,0,20000000,0,0,0,0,1047,283,1006,57#33,0,282,0,0,0,283,0,告知掌门门派危机,伽罗蓝告诉你青云山已被魔尊盯上，你要赶紧告知掌门。
143,体内魔气,0,58,0,142,1006,1047,0,1006,1047,0,20000000,0,0,0,0,1047,285,1006,57#33,0,284,0,0,0,285,0,了解体内的魔气,掌门告诉你，你体内的抹去日益增强，需要重新封印。
144,加固封印,0,59,0,143,1006,1047,0,1006,1047,0,22000000,0,0,0,1,100605,5,1006,43#30,0,286,0,0,0,287,0,试试封印后的身体,掌门为你加固封印，你去砍怪试试身体如何。
145,调理身体,0,59,0,144,1006,1047,0,1002,1018,0,22000000,0,0,0,0,1018,289,1002,59#10,0,288,0,0,0,289,0,回主城调理身体,这里的事情交给别人，自己身体弱还是先去找师父吧。
146,师父的担心,0,60,0,145,1002,1018,0,1002,1018,0,0,0,0,100000,0,1018,290,1002,59#10,0,290,0,0,0,291,0,了解师父的担心,玄虚子担心你的性格不能安分修仙，究竟什么原因呢？
147,大师指点,0,60,0,146,1002,1018,0,1002,1025,0,0,0,0,100000,0,1025,291,1002,61#29,0,292,0,0,0,293,0,让了无音指点迷津,玄虚子说你需要静心静气，你去找了无音大师指点迷津。
148,体质特殊,0,60,0,147,1002,1025,0,1002,1025,30028,0,0,0,100000,0,1025,292,1002,61#29,0,294,0,0,0,295,0,了解特殊体质,了无音猜测了你体质特殊的原因，你且听听如何。
149,补充体力,1,23,0,0,1003,1048,0,1003,1048,0,125000,0,0,0,1,100309,4,1003,38#12,0,296,0,0,0,297,0,杀死野狼,路边一位老乞丐快饿晕了，让你弄点狼血来给他补充体力。
150,为民除害,1,26,0,0,1003,1049,0,1003,1049,0,225000,0,0,0,1,100308,3,1003,42#37,0,298,0,0,0,299,0,铲除土匪,好好的一座山快被土匪占领了，于是你为民除害的小宇宙又爆发了。
151,以毒攻毒,1,28,0,0,1003,1050,0,1003,1050,0,300000,0,0,0,1,100310,3,1003,19#37,0,300,0,0,0,301,0,采集蝎毒,毒蝎具有很强的药用价值，不白让你多费些功夫捕捉一些回来。
152,不吐骨头,1,30,0,0,1004,1028,0,1004,1028,0,350000,0,0,0,1,100407,3,1004,23#28,0,302,0,0,0,303,0,铲除苍狼怪,王大锤让你去铲除吃人不吐骨头的苍狼怪，注意别被它们吃了。
153,顽固难除,1,31,0,0,1004,1028,0,1004,1028,0,450000,0,0,0,1,100408,3,1004,28#40,0,304,0,0,0,305,0,铲除兽人,一些体格强壮的兽人，顽固难除，你铲除它们可要当心。
154,精元滋补,1,34,0,0,1004,1029,0,1004,1029,0,500000,0,0,0,1,100409,4,1004,55#40,0,306,0,0,0,307,0,收集傀儡精元,你体内仙魔两气交汇，对身体损害较大，采点魔物精元补补。
155,魔族宝贝,1,36,0,0,1004,1033,0,1004,1033,0,600000,0,0,0,1,100406,3,1004,61#15,0,308,0,0,0,309,0,铲除灵魔熊,灵魔熊是魔族的宝贝，与它们打斗能够增强修为，你试试吧。
156,摄人心魄,1,38,0,0,1004,1031,0,1004,1031,0,700000,0,0,0,1,100410,3,1004,27#3,0,310,0,0,0,311,0,铲除鬼魅,鬼魅能够摄人心魄，影响人战斗发挥，还是先解决它们吧。
157,猪都成精了,1,51,0,0,1006,1042,0,1006,1042,0,1800000,0,0,0,1,100606,3,1006,30#39,0,312,0,0,0,313,0,铲除鬃猪,这年头猪都成精了，你忍不住好奇一定要去见识见识。
158,丑的可怕,1,58,0,0,1006,1052,0,1006,1052,0,4000000,0,0,0,1,100609,3,1006,55#40,0,314,0,0,0,315,0,铲除丑鬼,赛玉凤嫌弃这个地方丑鬼太多让人反胃，让你去铲除丑鬼。
159,行尸走肉,1,54,0,0,1006,1051,0,1006,1051,0,2400000,0,0,0,1,100607,3,1006,9#20,0,316,0,0,0,317,0,铲除僵尸书生,害人的行尸走肉必须想办法快点解决，你去砍死它们。
160,杀人利器,1,56,0,160,1006,1051,0,1006,1051,0,3200000,0,0,0,1,100608,3,1006,8#8,0,318,0,0,0,319,0,铲除僵尸,僵尸都能被魔气培养成杀人的利器，这真是太可怕了，打僵尸啦！
161,嗜血魔兵,1,56,0,0,1006,1051,0,1006,1051,0,4400000,0,0,0,1,100610,1,1006,8#8,0,320,0,0,0,321,0,击杀嗜血魔兵,嗜血魔兵的威力十分强大，铲除它一定要多加小心。
